Upc,Department,qty,amount($),Name
85003449643,Pasta/Rice,1,19.9,Cassava flour
86106002711,Snacks,1,2,Lil Dutch Iced Oatmeal Cookies
86600750774,General Food,1,1,Bumble Bee: Sardines in Water
90891127177,Cleaning&body,1,5,Prevail
91400039639,Cleaning&body,1,4,California
94262413432,Condiments,1,3,Bijol Coloring & Seasoning Condiment
94606370001,Cleaning&body,1,5,Baby King Pacifier
97298522352,Household,1,25,cop cam
99900908363,Snacks,1,1,Nestle Crunch 1.55z
1.61E+11,General Food,1,5,Ground ginger
1.94E+11,General Food,1,0,Ricsjasmi e
1.96E+11,General Food,1,5,Frozen cassava
3.01E+11,Cleaning&body,1,10,Neosporin:Neosporin Original Antibiotic Ointment
3.01E+11,Cleaning&body,1,5,Neosporin:Neosporin Original Antibiotic Ointment
3.01E+11,General Food,1,17,Enfamil Premium:1 Milk-Based w/Iron
3.01E+11,General Food,1,12,Enfamil Gentlease:Milk-Based With Iron
3.01E+11,General Food,1,25,Enfamil Infant Formula
3.01E+11,General Food,1,29.99,Enfamil
3.01E+11,General Food,1,14,Enfamil
3.05E+11,Cleaning&body,1,5,Pond's:Cool Classic
3.05E+11,Cleaning&body,1,4,Vaseline:Cocoa Butter
3.05E+11,Cleaning&body,1,2.5,Vaseline
3.05E+11,Cleaning&body,1,10,Pond's:Caring Classic
3.10E+11,Cleaning&body,1,5,Sen
3.10E+11,Cleaning&body,1,4.5,Sensodyne Repair & Protect Whitening Toothpaste - 3.4 oz
3.13E+11,Cleaning&body,1,3,Listerine Cool Mint:Antiseptic
3.70E+11,General Food,1,10,Flue meds
3.81E+11,Cleaning&body,1,4,Aveeno:Positively Nourishing(Tm) Calming
6.01E+11,General Food,1,1,Cban
6.01E+11,General Food,1,5.99,Fumbua
6.03E+11,General Food,1,8,Egg plant
6.05E+11,Cleaning&body,1,17,Shoe
6.09E+11,General Food,1,5.15,Mbizo
6.09E+11,Meat/Fish,1,25,Dried fish
6.09E+11,General Food,1,5.15,Mayebo
6.09E+11,General Food,1,12,Victoria palm oil
6.09E+11,General Food,1,5.25,Ndakala
6.09E+11,General Food,1,25,Dried fish
6.09E+11,General Food,1,22,Victoria palm oil
6.09E+11,General Food,1,50,Mikebuka
6.09E+11,Meat/Fish,1,30,S moked fish
6.09E+11,General Food,1,50,"Ndaka,a"
6.10E+11,General Food,1,2.75,Mackerel
6.11E+11,General Food,1,3,Summer
6.11E+11,Drinks,1,8,Red Bull Energy Drink with Taurine
6.11E+11,Drinks,1,2,Red Bull The Blue Edition:Energy Drink
6.11E+11,Drinks,1,3,Red Bull Energy Drink
6.11E+11,Drinks,1,2.5,Red Bull:Energy Drink
6.11E+11,Drinks,1,2,Red Bull
6.12E+11,General Food,1,75,Iyan Ado
6.12E+11,General Food,1,5,FuFu Cocoyam
6.12E+11,General Food,1,6,Golden Tropics Plantain FUFU Flour
6.12E+11,General Food,1,10,Iyanado Pounded Yam
6.12E+11,General Food,1,19.9,IYAN ADO NNI-JI EMA Iyan Pounded Yam
6.12E+11,General Food,1,25,Plaintain Fufu Golden Tropics
6.12E+11,General Food,1,35,Iyan ado NNI-JI EMA Iyan Pounded Yam
6.12E+11,General Food,1,20,Plantain fufu
6.13E+11,Drinks,1,1,Arizona: Orangeade
6.13E+11,Drinks,1,1,Arizona: Fruit Punch
6.13E+11,Drinks,1,1,Arizona Peach Tea
6.13E+11,Drinks,1,1,Arizona Watermelon Fruit Juice Cocktail
6.13E+11,Drinks,1,1,Arizona Half & Half Iced Tea & Lemonade
6.13E+11,Drinks,1,1,Arnold Palmer Tea
