Date,Department,# of Baskets,# of Items,Avg Items,Sales $,Avg Sale,Scan Rate,Scan Sales
2/28/21,Drinks,1,3,3,$3.00 ,$3.00 ,100,$3.00 
2/28/21,General Food,1,20,20,$237.00 ,$237.00 ,100,$237.00 
2/28/21,Meat/Fish,1,1,1,$10.00 ,$10.00 ,100,$10.00 
2/28/21,Snacks,1,1,1,$0.50 ,$0.50 ,100,$0.50 
3/1/21,Drinks,1,2,2,$2.00 ,$2.00 ,100,$2.00 
3/1/21,General Food,2,27,13.5,$329.49 ,$164.74 ,100,$329.49 
3/1/21,Meat/Fish,1,1,1,$20.00 ,$20.00 ,100,$20.00 
3/2/21,Drinks,1,10,10,$22.50 ,$22.50 ,100,$22.50 
3/2/21,General Food,7,51,7.3,$453.99 ,$64.85 ,100,$453.99 
3/2/21,Meat/Fish,3,4,1.3,$80.00 ,$26.66 ,100,$80.00 
3/2/21,Snacks,1,9,9,$4.50 ,$4.50 ,100,$4.50 
3/3/21,Drinks,1,4,4,$4.25 ,$4.25 ,100,$4.25 
3/3/21,General Food,1,5,5,$24.00 ,$24.00 ,100,$24.00 
3/4/21,General Food,1,3,3,$30.00 ,$30.00 ,100,$30.00 
3/5/21,General Food,7,25,3.6,$325.02 ,$46.43 ,100,$325.02 
3/5/21,Meat/Fish,2,4,2,$60.00 ,$30.00 ,100,$60.00 
3/5/21,Snacks,1,2,2,$1.00 ,$1.00 ,100,$1.00 
3/6/21,Drinks,1,1,1,$33.00 ,$33.00 ,100,$33.00 
3/6/21,General Food,6,48,8,$448.72 ,$74.78 ,100,$448.72 
3/7/21,General Food,3,19,6.3,$173.75 ,$57.91 ,100,$173.75 
3/8/21,Drinks,2,13,6.5,$80.00 ,$40.00 ,100,$80.00 
3/8/21,General Food,3,37,12.3,$271.50 ,$90.50 ,100,$271.50 
3/8/21,Meat/Fish,1,1,1,$20.00 ,$20.00 ,100,$20.00 
3/8/21,Snacks,2,15,7.5,$6.00 ,$3.00 ,100,$6.00 
3/9/21,General Food,4,14,3.5,$151.99 ,$37.99 ,100,$151.99 
3/10/21,General Food,6,39,6.5,$394.99 ,$65.83 ,100,$394.99 
3/10/21,Meat/Fish,2,2,1,$30.00 ,$15.00 ,100,$30.00 
3/11/21,General Food,2,10,5,$155.24 ,$77.62 ,100,$155.24 
3/11/21,Meat/Fish,1,4,4,$80.00 ,$80.00 ,100,$80.00 
3/12/21,Drinks,1,5,5,$10.00 ,$10.00 ,100,$10.00 
3/12/21,General Food,2,21,10.5,$60.00 ,$30.00 ,100,$60.00 
3/12/21,Snacks,1,1,1,$0.25 ,$0.25 ,100,$0.25 
3/13/21,General Food,5,33,6.6,$293.22 ,$58.64 ,100,$293.22 
3/13/21,Meat/Fish,3,5,1.7,$50.00 ,$16.66 ,100,$50.00 
3/13/21,Snacks,1,1,1,$1.00 ,$1.00 ,100,$1.00 
3/14/21,General Food,1,1,1,$6.00 ,$6.00 ,100,$6.00 
3/15/21,General Food,3,23,7.7,$205.50 ,$68.50 ,100,$205.50 
3/15/21,Meat/Fish,1,1,1,$10.00 ,$10.00 ,100,$10.00 
3/16/21,General Food,2,6,3,$124.00 ,$62.00 ,100,$124.00 
3/17/21,Drinks,1,2,2,$66.00 ,$66.00 ,100,$66.00 
3/17/21,General Food,7,64,9.1,$594.45 ,$84.92 ,100,$594.45 
3/17/21,Meat/Fish,1,1,1,$20.00 ,$20.00 ,100,$20.00 
3/17/21,Snacks,1,2,2,$0.75 ,$0.75 ,100,$0.75 
3/18/21,Drinks,1,1,1,$33.00 ,$33.00 ,100,$33.00 
3/18/21,General Food,4,53,13.3,$407.25 ,$101.81 ,100,$407.25 
3/18/21,Meat/Fish,3,3,1,$40.00 ,$13.33 ,100,$40.00 
3/19/21,Drinks,1,1,1,$33.00 ,$33.00 ,100,$33.00 
3/19/21,General Food,4,65,16.3,$453.20 ,$113.30 ,100,$453.20 
3/19/21,Meat/Fish,1,3,3,$30.00 ,$30.00 ,100,$30.00 
3/20/21,General Food,1,3,3,$9.00 ,$9.00 ,100,$9.00 
3/21/21,General Food,1,18,18,$131.00 ,$131.00 ,100,$131.00 
3/22/21,Drinks,1,2,2,$1.75 ,$1.75 ,100,$1.75 
3/22/21,General Food,3,34,11.3,$250.58 ,$83.52 ,100,$250.58 
3/22/21,Snacks,1,2,2,$1.00 ,$1.00 ,100,$1.00 
3/24/21,General Food,3,30,10,$127.90 ,$42.63 ,100,$127.90 
3/24/21,Pasta/Rice,1,2,2,$10.65 ,$10.65 ,100,$10.65 
3/25/21,Drinks,1,7,7,$39.00 ,$39.00 ,100,$39.00 
3/25/21,General Food,2,39,19.5,$333.55 ,$166.77 ,100,$333.55 
3/25/21,Meat/Fish,1,1,1,$20.00 ,$20.00 ,100,$20.00 
3/26/21,General Food,5,34,6.8,$207.50 ,$41.50 ,100,$207.50 
3/26/21,Meat/Fish,1,1,1,$20.00 ,$20.00 ,100,$20.00 
3/26/21,Snacks,2,2,1,$1.00 ,$0.50 ,100,$1.00 
3/27/21,General Food,2,12,6,$99.99 ,$49.99 ,100,$99.99 
3/28/21,General Food,1,2,2,$35.00 ,$35.00 ,100,$35.00 
3/29/21,General Food,1,17,17,$210.98 ,$210.98 ,100,$210.98 
3/29/21,Meat/Fish,1,1,1,$20.00 ,$20.00 ,100,$20.00 
3/30/21,Drinks,1,1,1,$1.50 ,$1.50 ,100,$1.50 
3/30/21,General Food,2,5,2.5,$54.00 ,$27.00 ,100,$54.00 
3/31/21,Drinks,1,6,6,$38.00 ,$38.00 ,100,$38.00 
3/31/21,General Food,2,19,9.5,$202.24 ,$101.12 ,100,$202.24 
3/31/21,Meat/Fish,1,2,2,$40.00 ,$40.00 ,100,$40.00 
